Load (N/m),Displacement for k_s=0.10*k_l (m),Displacement for k_s=0.30*k_l (m),Displacement for k_s=0.50*k_l (m),Displacement for k_s=0.70*k_l (m),Displacement for k_s=0.90*k_l (m),Displacement for k_s=1.10*k_l (m),Displacement for k_s=1.30*k_l (m),Displacement for k_s=1.50*k_l (m),Displacement for k_s=1.70*k_l (m),Displacement for k_s=1.90*k_l (m),Displacement for k_s=2.10*k_l (m),Displacement for k_s=2.30*k_l (m),Displacement for k_s=2.50*k_l (m),Displacement for k_s=2.70*k_l (m),Displacement for k_s=2.90*k_l (m)
1.0734625,2.173788344341123,1.876807492303383,1.628311346085801,1.397328789779318,0.4623307056328693,0.3912718459630951,0.3448738858711731,0.3102411659575293,0.2828923746713464,0.2604638933870114,0.2416188611908269,0.2254975816863685,0.2115119012860376,0.1992408890801872,0.1883727665357249
1.102475,2.188512040220599,1.890577387734433,1.642111953277715,1.413502466101372,0.4829645826543114,0.4050986498816778,0.3560245112405293,0.3197893337920855,0.2913407086563336,0.2680855871402748,0.2485871213279991,0.2319311848557976,0.2174969507599434,0.204842422986695,0.193641484681496
1.1314875,2.203197232606864,1.904276012783717,1.655757560871231,1.429195266308658,0.5053895778588069,0.4195088575764469,0.3673754925125186,0.3294486037743504,0.2998593249400424,0.2757551220588665,0.2555896688338827,0.2383903238588425,0.2235015950225526,0.2104593577828381,0.1989225486126788
1.1605,2.217845617416076,1.917907224307219,1.669248090054179,1.444436496986697,0.5307917455301544,0.4343317007391683,0.378945264479139,0.3392834285964619,0.3084519785121182,0.2834746315184546,0.2626278182215511,0.2448758584986617,0.2295264228833355,0.2160921116789659,0.2042162643351486
1.1895125,2.232458791659029,1.931474593601692,1.682622155880107,1.459283278721222,0.5609235196050466,0.4497548672564726,0.3907548946741246,0.3491982817784003,0.3171227163093498,0.2912463843725593,0.2697029544780131,0.2513886884338726,0.2355720471799606,0.2217411181234171,0.2095229479235209
1.218525,2.247038260742883,1.94498143375098,1.695870952064948,1.473711538523633,0.6007861845315919,0.4660249178172054,0.4028286135750844,0.3592505941891215,0.3258759080000599,0.2990727964541983,0.276816538052661,0.2579297555907588,0.2416391060456699,0.2274068265134725,0.2148429259417108
1.2475375,2.261585445115481,1.958430823740087,1.709003128263944,1.487918577292746,0.6997247198556625,0.4830563785662676,0.4151944862789801,0.3694507357361134,0.3347162809367227,0.3069564433181879,0.2839701102901727,0.264500046757687,0.247728264259426,0.2330897029470732,0.2201765358849273
1.27655,2.27610168632226,1.97182562979129,1.722026496598471,1.501844612806839,1.277233894608169,0.5011354214437125,0.427989846511351,0.3798101814716212,0.3436489599728528,0.3149000743877615,0.2911652993559166,0.2711005963783045,0.2538402146852927,0.2387902310180804,0.2255241266443897
1.3055625,2.290588252537133,1.98516852430284,1.734948124761016,1.515517445975611,1.295909400093679,0.5207541430897663,0.4410735615431846,0.3903417608326623,0.3527317274624692,0.3229066286948065,0.2984038267080372,0.2777324895618621,0.2599756798081005,0.2445089126580683,0.2308860589961419
1.334575,2.305046343621344,1.998462002710561,1.747774429205283,1.528961254884794,1.313423839220724,0.5421811550368517,0.4545746932830396,0.4010598797985042,0.3618746896637522,0.3309792524333176,0.3056875141774246,0.2843968653309858,0.2661354133730958,0.2502462690278829,0.2362627061154396
1.3635875,2.319477095757887,2.011708398543183,1.760511253941506,1.542196833309969,1.330200234479405,0.5661445103617178,0.4685513225510847,0.4119807904953441,0.3711294616686845,0.3391213185815832,0.3130182917248491,0.2910949201294473,0.2723202021379855,0.2560028414624553,0.2416544541182817
